Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1290791710,00000201,false,Rx,0,8,00,FE,FE,00,00,00,58,00,
1290796395,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
1290798723,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290799719,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290804361,00000711,false,Rx,0,8,00,03,DE,94,06,74,00,25,
1290808637,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290811726,00000201,false,Rx,0,8,00,FE,FE,00,00,00,59,00,
1290812745,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
1290818174,00000766,false,Rx,0,8,00,04,00,00,00,03,00,00,
1290819178,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290819180,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290828673,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290831647,00000741,false,Rx,0,6,00,00,00,00,00,00,00,00,
1290832667,00000201,false,Rx,0,8,00,FE,FE,00,00,00,5A,00,
1290836443,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
1290838112,00000386,false,Rx,0,6,02,EB,E6,78,80,00,00,00,
1290839133,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290839134,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290848623,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290851741,00000201,false,Rx,0,8,00,FE,FE,00,00,00,5B,00,
1290852769,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
1290858649,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290859673,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290868609,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290871738,00000201,false,Rx,0,8,00,FE,FE,00,00,00,5C,00,
1290878678,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290879711,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290879712,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
1290883633,0000077A,false,Rx,0,8,4D,22,5D,80,1E,00,00,FF,
1290885209,0000049A,false,Rx,0,7,00,45,84,86,98,61,DC,00,
1290888607,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290891740,00000201,false,Rx,0,8,00,FE,FE,00,00,00,5D,00,
1290892766,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
1290898618,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290899644,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290908606,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290910702,00000711,false,Rx,0,8,00,03,DE,94,06,74,00,25,
1290911729,00000201,false,Rx,0,8,00,FE,FE,00,00,00,5E,00,
1290918228,00000766,false,Rx,0,8,00,04,00,00,00,03,00,00,
1290919163,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290919165,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290920217,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
1290928587,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290931683,00000741,false,Rx,0,6,00,00,00,00,00,00,00,00,
1290932689,00000201,false,Rx,0,8,00,FE,FE,00,00,00,5F,00,
1290932690,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
1290938092,00000386,false,Rx,0,6,02,EB,E6,78,80,00,00,00,
1290939086,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290939087,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290948592,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290951742,00000201,false,Rx,0,8,00,FE,FE,00,00,00,60,00,
1290958611,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290959637,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290960647,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
1290968570,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290971725,00000201,false,Rx,0,8,00,FE,FE,00,00,00,61,00,
1290972746,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
1290978659,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290979663,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1290983637,0000077A,false,Rx,0,8,4D,22,5D,80,1E,00,00,FF,
1290985079,0000049A,false,Rx,0,7,00,45,84,86,98,61,DC,00,
1290988586,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290991690,00000201,false,Rx,0,8,00,FE,FE,00,00,00,62,00,
1290998553,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1290999557,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1291002117,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
1291008546,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1291011715,00000201,false,Rx,0,8,00,FE,FE,00,00,00,63,00,
1291012729,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
1291017164,00000711,false,Rx,0,8,00,03,DE,94,06,74,00,25,
1291018158,00000766,false,Rx,0,8,00,04,00,00,00,03,00,00,
1291019156,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1291019156,000001BA,false,Rx,0,6,10,42,C0,49,61,A7,00,00,
1291028533,000000FA,false,Rx,0,8,17,78,42,10,02,1A,1A,00,
1291031624,00000741,false,Rx,0,6,00,00,00,00,00,00,00,00,
