Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1114694,00000386,false,Rx,0,6,02,15,AF,F4,B6,00,00,00,
1119162,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
1120177,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
1124619,00000711,false,Rx,0,8,04,03,F1,F1,06,70,00,22,
1128654,00000201,false,Rx,0,8,00,FE,FE,00,00,00,04,00,
1129672,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
1139148,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
1140172,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
1141173,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
1148692,00000201,false,Rx,0,8,00,FE,FE,00,00,00,05,00,
1149696,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
1149697,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
1159155,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
1160171,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
1168660,00000201,false,Rx,0,8,00,FE,FE,00,00,00,06,00,
1169678,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
1179129,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
1180160,000001BA,false,Rx,0,6,10,18,C0,4B,61,32,00,00,
1183415,0000077A,false,Rx,0,8,3F,00,61,20,1C,00,00,FF,
1184446,00000102,false,Rx,0,3,00,00,00,00,00,00,00,00,
1188708,00000201,false,Rx,0,8,00,FE,FE,00,00,00,07,00,
1189741,000000FA,false,Rx,0,8,00,00,18,10,22,18,18,00,
1189742,00000101,false,Rx,0,8,00,00,00,00,00,00,03,00,
